Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Cheese, white, queso blan  1229        84.0196117  0.512520    0.088221    579.735321  2.125696    58.813728   260.460796  11.477919   0.747775    0.000000    0.000000    0.151235    0.000000    0.000000    0.000000    24.365687   0.000000    0.000000    591.498067  0.000000    0.000000    0.000000    466.308845  1.470343    0.072257    0.000000    22.685295   0.394892    1.344314    2.571000    
Cranberries, dried, sweet  9079        13.5373544  0.021524    0.003114    1.218362    11.208930   0.000000    41.695052   0.011913    0.000406    0.717480    0.000000    0.052796    0.000000    0.000000    0.000000    0.541494    0.000000    0.000000    0.676868    0.000000    0.000000    0.000000    6.227183    0.000000    0.005144    0.027075    0.000000    0.284284    1.028839    0.013537    
Millet flour               20647       42.4066461  1.080945    0.018659    5.936930    31.855873   0.000000    161.993388  0.227300    0.000848    1.484233    0.108985    1.670822    0.200583    0.651790    0.061066    50.463909   0.135277    0.286245    1.696266    0.150120    0.072091    0.247655    0.000000    0.000000    0.157753    0.000000    0.000000    0.046647    0.339253    1.115295    
Yogurt, plain, skim milk   1118        72.4127734  0.000000    0.000000    144.101419  5.561301    1.448255    40.551153   0.083999    0.000000    0.000000    0.102826    0.065171    0.226652    0.417822    0.372202    13.758427   0.122378    0.226652    55.757836   0.170170    0.023172    0.343237    5.068894    0.441718    0.038379    0.651715    0.000000    0.000000    0.144826    0.702404    
Nuts, pistachio nuts, raw  12151       11.0361998  1.555111    0.000000    11.588010   2.998535    0.000000    61.802719   0.651908    0.000000    1.169837    0.056505    0.432619    0.101202    0.177021    0.125592    13.353802   0.039730    0.120515    0.110362    0.075488    0.027701    0.137842    56.946791   0.000000    0.187615    0.618027    0.000000    0.315635    0.000000    0.242796    
Chicken, broilers or frye  5080        12.1085038  0.074588    0.003027    1.210850    0.000000    11.018739   14.530205   0.127139    0.001816    0.000000    0.069503    0.094446    0.112125    0.194947    0.216258    2.784956    0.066112    0.092630    11.624164   0.108371    0.026275    0.112972    3.874721    0.069018    0.049161    0.000000    0.121085    0.021795    0.339038    0.213110    
Chicken, gizzard, all cla  5023        3.08514864  0.000000    0.000278    0.339366    0.000000    7.404357    2.900040    0.016320    0.001851    0.000000    0.000000    0.076820    0.000000    0.000000    0.000000    0.462772    0.000000    0.000000    2.128753    0.000000    0.000000    0.000000    1.974495    0.037330    0.003455    0.114150    0.000000    0.010181    0.000000    0.083916    
Fish oil, cod liver        4589        7.50885914  0.000000    0.000000    0.000000    0.000000    42.800497   67.729909   1.697603    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    7508.85914  0.000000    0.000000    0.000000    750.885914  0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        63.8119468  0.831470    0.036373    3.828717    0.025525    54.878274   91.251084   1.468313    0.041478    0.000000    0.337565    0.523258    0.506667    0.868481    0.962922    13.400509   0.284601    0.435836    38.287168   0.463913    0.093804    0.527087    0.000000    0.357347    0.326717    0.000000    0.000000    0.172292    0.510496    0.938036    
Grapefruit, raw, pink and  9111        188.511970  0.000000    0.000000    22.621436   15.231767   0.000000    60.323830   0.026392    0.000000    2.073632    0.011311    0.169661    0.013196    0.022621    0.030162    15.080958   0.011311    0.071635    0.000000    0.020736    0.011311    0.022621    1747.50596  0.000000    0.079175    64.848118   0.000000    0.245066    0.000000    0.131958    
