Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Cheese, white, queso blan  1229        70.3777344  15.329456   28.035942   294.777909  4.177207    149.525026  57.581066   285.465100  0.626362    0.000000    0.000000    5.092622    0.000000    0.000000    0.000000    30.973041   0.000000    0.000000    130.764743  0.000000    0.000000    0.000000    23.710397   287.548127  21.612021   0.000000    14.418485   13.386050   5.696191    87.151730   
Millet flour               20647       31.2131626  28.409870   5.210520    2.652628    55.007709   0.000000    31.469067   4.967499    0.000624    22.105234   44.592192   49.438765   60.472966   88.895200   9.205187    56.368348   40.784094   49.687090   0.329519    42.995896   82.590986   59.109235   0.000000    0.000000    41.461247   0.000000    0.000000    1.389472    1.263156    33.221010   
Yogurt, plain, skim milk   1118        78.6472110  0.000000    0.000000    95.005110   14.170160   4.774126    11.623959   2.708798    0.000000    0.000000    62.081127   2.845506    100.830059  84.086409   82.790176   22.677099   54.441789   58.053670   15.982944   71.917925   39.172317   120.883321  0.334189    112.008343  14.884040   4.774126    0.000000    0.000000    0.795688    30.872682   
Nuts, pistachio nuts, raw  12151       10.0843359  50.740035   0.000000    6.427575    6.427871    0.000000    14.904522   17.686811   0.000000    21.629301   28.701539   15.891577   37.877299   29.972180   23.502926   18.517538   14.870041   25.970001   0.026615    26.840424   39.397347   40.842702   3.158694    0.000000    61.215002   3.808933    0.000000    11.671660   0.000000    8.978200    
Chicken, gizzard, all cla  5023        10.8912431  0.000000    0.371887    0.727245    0.000000    79.335810   2.702017    1.710678    0.006535    0.000000    0.000000    10.902106   0.000000    0.000000    0.000000    2.479244    0.000000    0.000000    1.983395    0.000000    0.000000    0.000000    0.423124    30.768055   4.355692    2.717986    0.000000    1.454490    0.000000    11.988522   
Chicken, heart, all class  5025        1.79805639  0.000000    0.000000    0.130977    0.029950    7.422031    0.726068    1.420104    0.000000    0.000000    4.078039    4.308074    6.134945    4.514496    4.798219    0.409303    2.769195    2.951308    0.351170    4.925632    5.569322    5.130866    0.032744    30.603285   2.311359    0.388080    0.000000    0.000000    0.000000    4.795214    
Fish oil, cod liver        4589        7.53053247  0.000000    0.000000    0.000000    0.000000    130.281007  17.927303   50.550223   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    457.126340  0.000000    0.000000    0.000000    571.407925  0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        68.4913449  31.867042   14.811571   2.494580    0.064273    178.778262  25.849637   46.793719   0.044519    0.000000    201.409193  22.577880   222.750431  172.727102  211.669018  21.827578   125.121779  110.321057  10.846002   193.756405  156.710820  183.451158  0.000000    89.549040   125.218153  0.000000    0.000000    7.483741    2.771756    40.744813   
Grapefruit, raw, pink and  9111        186.500538  0.000000    0.000000    13.585383   35.352624   0.000000    15.751169   0.775253    0.000000    41.510893   6.220414    6.747707    5.347373    4.146942    6.111284    22.642305   4.583463    16.713435   0.000000    7.982864    17.417158   7.257149    104.947086  0.000000    27.969907   432.719616  0.000000    9.811666    0.000000    5.283205    
Oil, almond                4529        22.8214686  0.000000    0.000000    0.000000    0.000000    0.000000    53.244969   55.563896   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    362.033667  8.081109    0.000000    
Wheat, soft white          20075       121.544372  0.000000    0.000000    25.085591   214.884924  0.000000    109.067786  13.280607   0.000000    312.340199  0.000000    262.387266  0.000000    0.000000    0.000000    166.007586  0.000000    0.000000    0.641575    0.000000    0.000000    0.000000    0.664030    0.000000    164.054556  0.000000    0.000000    49.679307   11.682015   170.188518  
