Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Millet flour               20647       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Yogurt, plain, skim milk   1118        95.8909512  0.000000    0.000000    115.835390  17.277028   5.820874    14.172562   3.302713    0.000000    0.000000    75.692682   3.469395    122.937484  102.522717  100.942279  27.649151   66.378386   70.782188   19.487273   87.686241   47.761016   147.387511  0.407461    136.566656  18.147430   5.820874    0.000000    0.000000    0.970146    37.641651   
Chicken, gizzard, all cla  5023        18.0962995  0.000000    0.617907    1.208351    0.000000    131.820084  4.489525    2.842371    0.010858    0.000000    0.000000    18.114349   0.000000    0.000000    0.000000    4.119378    0.000000    0.000000    3.295502    0.000000    0.000000    0.000000    0.703040    51.122533   7.237181    4.516058    0.000000    2.416702    0.000000    19.919479   
Chicken, heart, all class  5025        1.94764614  0.000000    0.000000    0.141874    0.032441    8.039509    0.786474    1.538250    0.000000    0.000000    4.417313    4.666486    6.645343    4.890081    5.197408    0.443355    2.999579    3.196843    0.380386    5.335421    6.032663    5.557730    0.035468    33.149333   2.503653    0.420366    0.000000    0.000000    0.000000    5.194153    
Fish oil, cod liver        4589        8.74582128  0.000000    0.000000    0.000000    0.000000    151.305954  20.820438   58.708095   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    530.898086  0.000000    0.000000    0.000000    663.622607  0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        21.3807329  9.947837    4.623683    0.778726    0.020064    55.808661   8.069402    14.607452   0.013897    0.000000    62.873290   7.048068    69.535319   53.919689   66.076068   6.813848    39.058882   34.438586   3.385763    60.484342   48.919936   57.267385   0.000000    27.954249   39.088967   0.000000    0.000000    2.336177    0.865251    12.719183   
Oil, almond                4529        19.8771538  0.000000    0.000000    0.000000    0.000000    0.000000    46.375562   48.395313   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    315.325845  7.038523    0.000000    
Wheat, soft white          20075       137.631792  0.000000    0.000000    28.405880   243.326752  0.000000    123.503825  15.038407   0.000000    353.681052  0.000000    297.116429  0.000000    0.000000    0.000000    187.980087  0.000000    0.000000    0.726493    0.000000    0.000000    0.000000    0.751920    0.000000    185.768556  0.000000    0.000000    56.254782   13.228228   192.714400  
Noodles, flat, crunchy, C  20118       61.3111665  323.487945  468.478456  7.815728    74.651259   0.000000    84.306300   89.765577   0.083383    23.571243   0.000000    43.379632   0.000000    0.000000    0.000000    19.539320   0.000000    0.000000    61.166567   0.000000    0.000000    0.000000    0.037218    0.000000    5.911055    0.000000    0.000000    81.630936   19.539320   15.631456   
