Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Millet flour               20647       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Yogurt, plain, skim milk   1118        95.8909512  0.000000    0.000000    190.822993  7.364425    1.917819    53.698933   0.111234    0.000000    0.000000    0.136165    0.086302    0.300139    0.553291    0.492879    18.219281   0.162056    0.300139    73.836032   0.225344    0.030685    0.454523    6.712367    0.584935    0.050822    0.863019    0.000000    0.000000    0.191782    0.930142    
Chicken, gizzard, all cla  5023        18.0962995  0.000000    0.001629    1.990593    0.000000    43.431119   17.010522   0.095729    0.010858    0.000000    0.000000    0.450598    0.000000    0.000000    0.000000    2.714445    0.000000    0.000000    12.486447   0.000000    0.000000    0.000000    11.581632   0.218965    0.020268    0.669563    0.000000    0.059718    0.000000    0.492219    
Chicken, heart, all class  5025        1.94764614  0.000000    0.000000    0.233718    0.013828    2.648799    2.979899    0.051807    0.000000    0.000000    0.007946    0.116080    0.016224    0.026391    0.025378    0.292147    0.007323    0.013556    1.441258    0.013711    0.003876    0.017139    0.584294    0.141983    0.007012    0.062325    0.000000    0.000000    0.000000    0.128350    
Fish oil, cod liver        4589        8.74582128  0.000000    0.000000    0.000000    0.000000    49.851181   78.887308   1.977255    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    8745.82128  0.000000    0.000000    0.000000    874.582129  0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        21.3807329  0.278591    0.012187    1.282844    0.008552    18.387430   30.574448   0.491971    0.013897    0.000000    0.113104    0.175322    0.169763    0.290992    0.322635    4.489954    0.095358    0.146030    12.828440   0.155438    0.031430    0.176605    0.000000    0.119732    0.109469    0.000000    0.000000    0.057728    0.171046    0.314297    
Oil, almond                4529        19.8771538  0.000000    0.000000    0.000000    0.000000    0.000000    175.714040  1.629927    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    7.791844    1.391401    0.000000    
Wheat, soft white          20075       137.631792  0.000000    0.000000    46.794810   103.719319  0.000000    467.948096  0.506485    0.000000    17.479238   0.000000    7.390827    0.000000    0.000000    0.000000    123.868614  0.000000    0.000000    2.752636    0.000000    0.000000    0.000000    12.386861   0.000000    0.520248    0.000000    0.000000    1.390081    2.615004    4.762060    
Noodles, flat, crunchy, C  20118       61.3111665  9.059338    1.234807    12.875345   31.820495   0.000000    319.431178  3.023254    0.083383    1.164912    0.000000    1.079077    0.000000    0.000000    0.000000    12.875345   0.000000    0.000000    231.756209  0.000000    0.000000    0.000000    0.613112    0.000000    0.016554    0.000000    0.000000    2.017137    3.862603    0.386260    
